MBARI ID	INST ID	WMO	float type	1st lon	1st lat	1st date	msg dir	NC template	Program	Region	tf Bfile	tf Dead	tf NO3	tf pH	tf Chl	tf OCR	max cycle msg file	max cycle file date	latest cycle msg file	latest cycle file date	max cycle proc	max cycle proc date
ua12381	12381	5904857	APEX	-156.978	-75.647	01/13/2017 14:11	\\seaecho.shore.mbari.org\floats\UW\f12381\	1	SOCCOM	SO	1	1	1	1	1	0	185	01/31/2022 23:53	185	01/31/2022 23:53	184	01/22/2022 01:57
ua12382	12382	5904841	APEX	-102.991	-45.007	01/13/2017 00:06	\\seaecho.shore.mbari.org\floats\UW\f12382\	1	SOCCOM	SO	1	1	1	1	1	0	160	05/30/2021 00:10	160	05/30/2021 00:10	160	05/30/2021 06:17
ua12386	12386	5905076	APEX	-126.307	-57.178	02/22/2017 03:10	\\seaecho.shore.mbari.org\floats\UW\f12386\	1	SOCCOM	SO	1	1	1	1	1	0	162	07/31/2021 01:51	162	07/31/2021 01:51	162	07/31/2021 07:26
ua12388	12388	5905099	APEX	170.166	-59.984	04/16/2017 17:16	\\seaecho.shore.mbari.org\floats\UW\f12388\	1	SOCCOM	SO	1	1	1	1	1	0	151	06/03/2021 15:07	151	06/03/2021 15:07	151	06/03/2021 21:27
ua12390	12390	5904981	APEX	-128.458	-68.257	01/09/2017 10:35	\\seaecho.shore.mbari.org\floats\UW\f12390\	1	SOCCOM	SO	1	1	1	1	1	0	42	02/24/2018 14:58	31	05/15/2018 10:07	35	12/16/2017 01:24
ua12396	12396	5905104	APEX	-134.874	-32.583	09/01/2017 20:29	\\seaecho.shore.mbari.org\floats\UW\f12396\	1	SOCCOM	SO	1	1	1	1	1	0	180	07/24/2022 02:45	180	07/24/2022 02:45	180	07/24/2022 09:07
ua12398	12398	5905638	APEX	173.524	-67.616	03/26/2018 15:08	\\seaecho.shore.mbari.org\floats\UW\f12398\	1	SOCCOM	SO	1	1	1	1	1	0	184	04/05/2023 02:20	184	04/05/2023 02:20	184	04/05/2023 08:39
ua12472	12472	5905381	APEX	1.488	-66.014	01/27/2018 18:17	\\seaecho.shore.mbari.org\floats\UW\f12472\	11	UW	SO	1	0	0	0	0	0	154	04/04/2022 16:00	154	04/04/2022 16:00	154	04/04/2022 22:32
ua12537	12537	5905070	APEX	95.592	-54.814	01/12/2017 00:26	\\seaecho.shore.mbari.org\floats\UW\f12537\	1	SOCCOM	SO	1	1	1	1	1	0	137	10/17/2020 23:09	137	10/17/2020 23:09	137	10/18/2020 05:20
ua12540	12540	5905105	APEX	-73.995	-32.488	09/27/2017 02:20	\\seaecho.shore.mbari.org\floats\UW\f12540\	1	SOCCOM	SO	1	1	1	1	1	0	230	11/23/2021 18:20	163	09/28/2022 20:20	230	11/24/2021 01:55
ua12541	12541	5904860	APEX	-146.349	-72.355	01/12/2017 05:01	\\seaecho.shore.mbari.org\floats\UW\f12541\	1	SOCCOM	SO	1	1	1	1	1	0	81	03/25/2019 17:33	71	07/17/2019 11:57	81	03/25/2019 23:50
ua12542	12542	5905079	APEX	-125.677	-53.869	02/23/2017 10:04	\\seaecho.shore.mbari.org\floats\UW\f12542\	1	SOCCOM	SO	1	1	1	1	1	0	134	10/24/2020 14:29	134	10/24/2020 14:29	134	10/24/2020 20:50
ua12543	12543	5904980	APEX	-74.241	-66.422	01/02/2017 12:35	\\seaecho.shore.mbari.org\floats\UW\f12543\	1	SOCCOM	SO	1	1	1	1	1	0	115	03/04/2020 21:39	115	03/04/2020 21:39	115	03/05/2020 03:35
ua12545	12545	5904856	APEX	-69.096	-64.140	12/30/2016 12:32	\\seaecho.shore.mbari.org\floats\UW\f12545\	1	SOCCOM	SO	1	1	1	1	1	0	130	07/24/2020 11:29	130	07/24/2020 11:29	129	07/14/2020 13:48
ua12549	12549	5904859	APEX	-109.087	-69.659	01/06/2017 11:00	\\seaecho.shore.mbari.org\floats\UW\f12549\	1	SOCCOM	SO	1	1	1	1	1	0	187	02/13/2022 03:48	169	09/28/2022 20:24	187	02/13/2022 11:09
ua12551	12551	5904858	APEX	-136.519	-70.680	01/10/2017 20:04	\\seaecho.shore.mbari.org\floats\UW\f12551\	1	SOCCOM	SO	1	1	1	1	1	0	189	03/10/2022 20:44	152	09/28/2022 20:26	188	02/28/2022 20:22
ua12552	12552	5904842	APEX	-103.095	-50.995	01/16/2017 08:34	\\seaecho.shore.mbari.org\floats\UW\f12552\	1	SOCCOM	SO	1	1	1	1	1	0	155	04/16/2021 11:34	155	04/16/2021 11:34	155	04/16/2021 16:40
ua12558	12558	5905069	APEX	95.578	-54.815	01/12/2017 02:10	\\seaecho.shore.mbari.org\floats\UW\f12558\	1	SOCCOM	SO	1	1	1	1	1	0	141	11/23/2020 13:21	141	11/23/2020 13:21	141	11/23/2020 20:35
ua12559	12559	5904855	APEX	-95.440	-68.285	01/04/2017 21:21	\\seaecho.shore.mbari.org\floats\UW\f12559\	1	SOCCOM	SO	1	1	1	1	1	0	157	04/19/2021 02:13	157	04/19/2021 02:13	157	04/19/2021 07:39
ua12573	12573	5904982	APEX	-68.508	-59.210	12/28/2016 23:03	\\seaecho.shore.mbari.org\floats\UW\f12573\	1	SOCCOM	SO	1	1	1	1	1	0	149	01/27/2021 14:26	149	01/27/2021 14:26	149	01/27/2021 20:28
ua12575	12575	5904854	APEX	-68.005	-57.349	12/28/2016 03:52	\\seaecho.shore.mbari.org\floats\UW\f12575\	1	SOCCOM	SO	1	1	1	1	1	0	144	12/07/2020 12:15	144	12/07/2020 12:15	144	12/07/2020 19:38
ua12631	12631	5905382	APEX	5.069	-64.027	01/27/2018 02:05	\\seaecho.shore.mbari.org\floats\UW\f12631\	11	UW	SO	1	1	0	0	0	0	85	05/14/2020 19:05	11	06/20/2020 16:49	85	05/15/2020 00:36
ua12652	12652	5905383	APEX	2.622	-65.378	01/27/2018 13:20	\\seaecho.shore.mbari.org\floats\UW\f12652\	11	UW	SO	1	0	0	0	0	0	225	03/15/2024 16:00	225	03/15/2024 16:00	225	03/15/2024 22:14
ua12688	12688	5905991	APEX	-47.479	-64.172	01/28/2019 16:25	\\seaecho.shore.mbari.org\floats\UW\f12688\	1	SOCCOM	SO	1	1	1	1	1	0	166	08/12/2023 16:34	166	08/12/2023 16:34	166	08/12/2023 22:56
ua12696	12696	5905980	APEX	-28.314	-27.209	10/19/2018 10:52	\\seaecho.shore.mbari.org\floats\UW\f12696\	1	SOCCOM	SAtl	1	1	1	1	1	0	151	12/19/2022 09:26	151	12/19/2022 09:26	86	02/21/2021 11:20
ua12700	12700	5905983	APEX	-36.123	-34.598	10/22/2018 12:22	\\seaecho.shore.mbari.org\floats\UW\f12700\	1	SOCCOM	SO	1	1	1	1	1	0	147	10/31/2022 10:11	147	10/31/2022 10:11	147	10/31/2022 15:36
ua12701	12701	5905635	APEX	-173.814	-67.011	03/29/2018 21:57	\\seaecho.shore.mbari.org\floats\UW\f12701\	1	SOCCOM	SO	1	1	1	1	1	0	186	04/30/2023 02:46	186	04/30/2023 02:46	186	04/30/2023 08:53
ua12702	12702	5905379	APEX	149.961	-65.374	02/04/2018 04:44	\\seaecho.shore.mbari.org\floats\UW\f12702\	1	SOCCOM	SO	1	1	1	1	1	0	149	03/02/2022 06:27	123	09/28/2022 20:28	149	03/02/2022 13:48
ua12707	12707	5906003	APEX	-48.170	-60.121	03/03/2019 16:34	\\seaecho.shore.mbari.org\floats\UW\f12707\	1	SOCCOM	SO	1	1	1	1	1	0	93	09/11/2021 05:17	93	09/11/2021 05:17	93	09/11/2021 10:28
ua12708	12708	5906001	APEX	80.189	-63.546	12/15/2018 22:05	\\seaecho.shore.mbari.org\floats\UW\f12708\	1	SOCCOM	SO	1	1	1	1	1	0	29	09/23/2019 19:10	29	09/23/2019 19:10	24	08/04/2019 01:50
ua12709	12709	5905375	APEX	139.846	-64.825	01/31/2018 17:18	\\seaecho.shore.mbari.org\floats\UW\f12709\	1	SOCCOM	SO	1	1	1	1	1	0	94	05/30/2021 05:26	94	05/30/2021 05:26	94	08/24/2020 14:37
ua12711	12711	5906000	APEX	112.222	-64.048	12/31/2018 02:51	\\seaecho.shore.mbari.org\floats\UW\f12711\	1	SOCCOM	SO	1	1	1	1	1	0	158	04/27/2023 10:34	158	04/27/2023 10:34	157	04/17/2023 15:26
ua12712	12712	5905380	APEX	-0.081	-66.746	01/28/2018 02:23	\\seaecho.shore.mbari.org\floats\UW\f12712\	11	UW	SO	1	0	0	0	0	0	233	06/02/2024 09:00	233	06/02/2024 09:00	233	06/02/2024 14:44
ua12714	12714	5905997	APEX	120.250	-64.434	01/03/2019 20:08	\\seaecho.shore.mbari.org\floats\UW\f12714\	1	SOCCOM	SO	1	1	1	1	1	0	153	03/09/2023 12:40	153	03/09/2023 12:40	153	03/09/2023 20:06
ua12717	12717	5905139	APEX	-124.938	4.913	10/29/2017 06:15	\\seaecho.shore.mbari.org\floats\UW\f12717\	12	TPOS	EQPac	1	1	0	1	1	0	14	02/05/2018 06:01	13	02/23/2018 15:31	14	02/05/2018 12:48
ua12723	12723	5905134	APEX	-9.927	-42.980	09/19/2017 21:28	\\seaecho.shore.mbari.org\floats\UW\f12723\	1	SOCCOM	SO	1	1	1	1	1	0	170	05/16/2022 22:34	170	05/16/2022 22:34	170	05/17/2022 04:19
ua12727	12727	5905998	APEX	104.636	-62.983	12/27/2018 06:54	\\seaecho.shore.mbari.org\floats\UW\f12727\	1	SOCCOM	SO	1	1	1	1	1	0	158	04/22/2023 12:03	158	04/22/2023 12:03	157	04/12/2023 14:51
